1::Toy Story (1995)::An;imation|Children's|Comedy
1760::Spice World (1997;)::Comedy|Musical
1762::Deep Rising (1998;)::Action|Horror|Sci-Fi
1764::Tainted (1998)::C;omedy|Thriller
1765::Letter From Death;Row, A (1998)::Crime|Drama
1767::Music From Anothe;r Room (1998)::Drama|Romance
1768::Mat' i syn (1997);::Drama
1769::Replacement Kille;rs, The (1998)::Action|Thriller
1770::B. Monkey (1998):;:Romance|Thriller
1771::Night Flier (1997;)::Horror
1772::Blues Brothers 20;00 (1998)::Action|Comedy|Musical
1773::Tokyo Fist (1995);::Action|Drama
1774::Mass Transit (199;8)::Comedy|Drama
1776::Ride (1998)::Dram;a
1777::Wedding Singer, T;he (1998)::Comedy|Romance
1779::Sphere (1998)::Ad;venture|Sci-Fi|Thriller
1780::Ayn Rand: A Sense;of Life (1997)::Documentary
1781::Further Gesture,;A (1996)::Drama
1782::Little City (1998;)::Comedy|Romance
1783::Palmetto (1998)::;Film-Noir|Mystery|Thriller
1784::As Good As It Get;s (1997)::Comedy|Drama
1785::King of New York;(1990)::Action|Crime
1787::Paralyzing Fear:;The Story of Polio in America, A (1998)::Documentary
1788::Men With Guns (19;97)::Action|Drama
1789::Sadness of Sex, T;he (1995)::Drama
1791::Twilight (1998)::;Crime|Drama
1792::U.S. Marshalls (1;998)::Action|Thriller
1793::Welcome to Woop-W;oop (1997)::Comedy
1794::Love and Death on;Long Island (1997)::Comedy|Drama
1795::Callejón de los m;ilagros, El (1995)::Drama
1796::In God's Hands (1;998)::Action|Drama
1797::Everest (1998)::D;ocumentary
1798::Hush (1998)::Thri;ller
1799::Suicide Kings (19;97)::Crime|Drama
1801::Man in the Iron M;ask, The (1998)::Action|Drama|Romance
1804::Newton Boys, The;(1998)::Crime|Drama
1805::Wild Things (1998;)::Crime|Drama|Mystery|Thriller
1806::Paulie (1998)::Ad;venture|Children's|Comedy
1807::Cool Dry Place, A;(1998)::Drama
1809::Hana-bi (1997)::C;omedy|Crime|Drama
1810::Primary Colors (1;998)::Drama
1811::Niagara, Niagara;(1997)::Drama
1812::Wide Awake (1998);::Children's|Comedy|Drama
1814::Price Above Rubie;s, A (1998)::Drama
1815::Eden (1997)::Dram;a
1816::Two Girls and a G;uy (1997)::Comedy|Drama
1817::No Looking Back (;1998)::Comedy|Drama|Romance
1819::Storefront Hitchc;ock (1997)::Drama
1820::Proposition, The;(1998)::Drama
1821::Object of My Affe;ction, The (1998)::Comedy|Romance
1822::Meet the Deedles;(1998)::Children's|Comedy
1824::Homegrown (1998):;:Comedy|Thriller
1825::Player's Club, Th;e (1998)::Action|Drama
1826::Barney's Great Ad;venture (1998)::Adventure|Children's
1827::Big One, The (199;7)::Comedy|Documentary
1829::Chinese Box (1997;)::Drama|Romance
1830::Follow the Bitch;(1998)::Comedy
1831::Lost in Space (19;98)::Action|Sci-Fi|Thriller
1832::Heaven's Burning;(1997)::Action|Drama
1833::Mercury Rising (1;998)::Action|Drama|Thriller
1834::Spanish Prisoner,;The (1997)::Drama|Thriller
1835::City of Angels (1;998)::Romance
1836::Last Days of Disc;o, The (1998)::Drama
1837::Odd Couple II, Th;e (1998)::Comedy
1839::My Giant (1998)::;Comedy
1840::He Got Game (1998;)::Drama
1841::Gingerbread Man,;The (1998)::Drama|Thriller
1842::Illtown (1996)::C;rime|Drama
1843::Slappy and the St;inkers (1998)::Children's|Comedy
1844::Live Flesh (1997);::Drama
1845::Zero Effect (1998;)::Comedy|Thriller
1846::Nil By Mouth (199;7)::Drama
1847::Ratchet (1996)::D;rama|Thriller
1848::Borrowers, The (1;997)::Adventure|Children's|Comedy|Fantasy
1849::Prince Valiant (1;997)::Adventure
1850::I Love You, Don't;Touch Me! (1998)::Drama|Romance
1851::Leather Jacket Lo;ve Story (1997)::Drama|Romance
1852::Love Walked In (1;998)::Drama|Thriller
1853::Alan Smithee Film;: Burn Hollywood Burn, An (1997)::Comedy
1854::Kissing a Fool (1;998)::Comedy|Romance
1855::Krippendorf's Tri;be (1998)::Comedy
1856::Kurt & Courtney (;1998)::Documentary|Musical
1857::Real Blonde, The;(1997)::Comedy
1858::Mr. Nice Guy (199;7)::Action|Comedy
1859::Taste of Cherry (;1997)::Drama
1860::Character (Karakt;er) (1997)::Drama
1861::Junk Mail (1997):;:Comedy|Thriller
1862::Species II (1998);::Horror|Sci-Fi
1863::Major League: Bac;k to the Minors (1998)::Comedy
1864::Sour Grapes (1998;)::Comedy
1865::Wild Man Blues (1;998)::Documentary
1866::Big Hit, The (199;8)::Action|Comedy
1867::Tarzan and the Lo;st City (1998)::Action|Adventure
1868::Truce, The (1996);::Drama|War
1869::Black Dog (1998):;:Action|Thriller
1870::Dancer, Texas Pop;. 81 (1998)::Comedy|Drama
1871::Friend of the Dec;eased, A (1997)::Comedy|Drama
1872::Go Now (1995)::Dr;ama
1873::Misérables, Les (;1998)::Drama
1874::Still Breathing (;1997)::Comedy|Romance
1875::Clockwatchers (19;97)::Comedy
1876::Deep Impact (1998;)::Action|Drama|Sci-Fi|Thriller
1877::Little Men (1998);::Drama
1878::Woo (1998)::Comed;y|Romance
1879::Hanging Garden, T;he (1997)::Drama
1880::Lawn Dogs (1997):;:Drama
1881::Quest for Camelot;(1998)::Adventure|Animation|Children's|Fantasy
1882::Godzilla (1998)::;Action|Sci-Fi
1883::Bulworth (1998)::;Comedy
1884::Fear and Loathing;in Las Vegas (1998)::Comedy|Drama
1885::Opposite of Sex,;The (1998)::Comedy|Drama
1886::I Got the Hook Up;(1998)::Comedy
1887::Almost Heroes (19;98)::Adventure|Comedy
1888::Hope Floats (1998;)::Comedy|Drama|Romance
1889::Insomnia (1997)::;Thriller
1890::Little Boy Blue (;1997)::Drama
1891::Ugly, The (1997):;:Horror|Thriller
1892::Perfect Murder, A;(1998)::Mystery|Thriller
1893::Beyond Silence (1;996)::Drama
1894::Six Days Seven Ni;ghts (1998)::Adventure|Comedy|Romance
1895::Can't Hardly Wait;(1998)::Comedy|Drama|Romance
1896::Cousin Bette (199;8)::Comedy
1897::High Art (1998)::;Drama|Romance
1898::Land Girls, The (;1998)::Drama|War
1899::Passion in the De;sert (1998)::Adventure|Drama
1900::Children of Heave;n, The (Bacheha-Ye Aseman) (1997)::Drama
1901::Dear Jesse (1997);::Documentary
1902::Dream for an Inso;mniac (1996)::Drama|Romance
1903::Hav Plenty (1997);::Comedy
1904::Henry Fool (1997);::Comedy|Drama
1905::Marie Baie Des An;ges (1997)::Drama
1906::Mr. Jealousy (199;7)::Comedy|Romance
1907::Mulan (1998)::Ani;mation|Children's
1908::Resurrection Man;(1998)::Drama|Thriller
1909::X-Files: Fight th;e Future, The (1998)::Mystery|Sci-Fi|Thriller
1910::I Went Down (1997;)::Action|Comedy|Crime
1911::Doctor Dolittle (;1998)::Comedy
1912::Out of Sight (199;8)::Action|Crime|Romance
1913::Picnic at Hanging;Rock (1975)::Drama|Mystery
1914::Smoke Signals (19;98)::Comedy|Drama
1915::Voyage to the Beg;inning of the World (1997)::Drama
1916::Buffalo 66 (1998);::Action|Comedy|Drama
1917::Armageddon (1998);::Action|Adventure|Sci-Fi|Thriller
1918::Lethal Weapon 4 (;1998)::Action|Comedy|Crime|Drama
1919::Madeline (1998)::;Children's|Comedy
1920::Small Soldiers (1;998)::Animation|Children's|Fantasy|War
1921::Pi (1998)::Sci-Fi;|Thriller
1922::Whatever (1998)::;Drama
1923::There's Something;About Mary (1998)::Comedy
1924::Plan 9 from Outer;Space (1958)::Horror|Sci-Fi
1925::Wings (1927)::Dra;ma|Romance|War
1926::Broadway Melody,;The (1929)::Musical
1927::All Quiet on the;Western Front (1930)::War
1928::Cimarron (1931)::;Western
1929::Grand Hotel (1932;)::Drama
1930::Cavalcade (1933):;:Drama
1931::Mutiny on the Bou;nty (1935)::Adventure
1932::Great Ziegfeld, T;he (1936)::Musical
1933::Life of Émile Zol;a, The (1937)::Drama
1934::You Can't Take It;With You (1938)::Comedy
1935::How Green Was My;Valley (1941)::Drama
1936::Mrs. Miniver (194;2)::Drama|War
1937::Going My Way (194;4)::Comedy
1938::Lost Weekend, The;(1945)::Drama
1939::Best Years of Our;Lives, The (1946)::Drama|War
1940::Gentleman's Agree;ment (1947)::Drama
1941::Hamlet (1948)::Dr;ama
1942::All the King's Me;n (1949)::Drama
1943::Greatest Show on;Earth, The (1952)::Drama
1944::From Here to Eter;nity (1953)::Drama|Romance|War
1945::On the Waterfront;(1954)::Crime|Drama
1946::Marty (1955)::Dra;ma|Romance
1947::West Side Story (;1961)::Musical|Romance
1948::Tom Jones (1963):;:Comedy
1949::Man for All Seaso;ns, A (1966)::Drama
1950::In the Heat of th;e Night (1967)::Drama|Mystery
1951::Oliver! (1968)::M;usical
1952::Midnight Cowboy (;1969)::Drama
1953::French Connection;, The (1971)::Action|Crime|Drama|Thriller
1954::Rocky (1976)::Act;ion|Drama
1955::Kramer Vs. Kramer;(1979)::Drama
1956::Ordinary People (;1980)::Drama
1957::Chariots of Fire;(1981)::Drama
1958::Terms of Endearme;nt (1983)::Comedy|Drama
1959::Out of Africa (19;85)::Drama|Romance
1960::Last Emperor, The;(1987)::Drama|War
1961::Rain Man (1988)::;Drama
1962::Driving Miss Dais;y (1989)::Drama
1963::Take the Money an;d Run (1969)::Comedy
1964::Klute (1971)::Dra;ma|Mystery
1965::Repo Man (1984)::;Comedy|Sci-Fi
1966::Metropolitan (199;0)::Comedy
1967::Labyrinth (1986):;:Adventure|Children's|Fantasy
1968::Breakfast Club, T;he (1985)::Comedy|Drama
1969::Nightmare on Elm;Street Part 2: Freddy's Revenge, A (1985)::Horror
1970::Nightmare on Elm;Street 3: Dream Warriors, A (1987)::Horror
1971::Nightmare on Elm;Street 4: The Dream Master, A (1988)::Horror
1972::Nightmare on Elm;Street 5: The Dream Child, A (1989)::Horror
1973::Freddy's Dead: Th;e Final Nightmare (1991)::Horror
1974::Friday the 13th (;1980)::Horror
1975::Friday the 13th P;art 2 (1981)::Horror
1976::Friday the 13th P;art 3: 3D (1982)::Horror
1977::Friday the 13th:;The Final Chapter (1984)::Horror
1978::Friday the 13th P;art V: A New Beginning (1985)::Horror
1979::Friday the 13th P;art VI: Jason Lives (1986)::Horror
1980::Friday the 13th P;art VII: The New Blood (1988)::Horror
1981::Friday the 13th P;art VIII: Jason Takes Manhattan (1989)::Horror
1982::Halloween (1978):;:Horror
1983::Halloween II (198;1)::Horror
1984::Halloween III: Se;ason of the Witch (1983)::Horror
1985::Halloween 4: The;Return of Michael Myers (1988)::Horror
1986::Halloween 5: The;Revenge of Michael Myers (1989)::Horror
1987::Prom Night (1980);::Horror
1988::Hello Mary Lou: P;rom Night II (1987)::Horror
1989::Prom Night III: T;he Last Kiss (1989)::Horror
1990::Prom Night IV: De;liver Us From Evil (1992)::Horror
1991::Child's Play (198;8)::Horror
1992::Child's Play 2 (1;990)::Horror
1993::Child's Play 3 (1;992)::Horror
1994::Poltergeist (1982;)::Horror|Thriller
1995::Poltergeist II: T;he Other Side (1986)::Horror|Thriller
1996::Poltergeist III (;1988)::Horror|Thriller
1997::Exorcist, The (19;73)::Horror
1998::Exorcist II: The;Heretic (1977)::Horror
1999::Exorcist III, The;(1990)::Horror
2000::Lethal Weapon (19;87)::Action|Comedy|Crime|Drama
2001::Lethal Weapon 2 (;1989)::Action|Comedy|Crime|Drama
2002::Lethal Weapon 3 (;1992)::Action|Comedy|Crime|Drama
2003::Gremlins (1984)::;Comedy|Horror
2004::Gremlins 2: The N;ew Batch (1990)::Comedy|Horror
2005::Goonies, The (198;5)::Adventure|Children's|Fantasy
2006::Mask of Zorro, Th;e (1998)::Action|Adventure|Romance
2007::Polish Wedding (1;998)::Comedy
2008::This World, Then;the Fireworks (1996)::Crime|Drama|Film-Noir
2009::Soylent Green (19;73)::Sci-Fi|Thriller
2010::Metropolis (1926);::Sci-Fi
2011::Back to the Futur;e Part II (1989)::Comedy|Sci-Fi
2012::Back to the Futur;e Part III (1990)::Comedy|Sci-Fi|Western
2013::Poseidon Adventur;e, The (1972)::Action|Adventure
2014::Freaky Friday (19;77)::Children's|Comedy
2015::Absent Minded Pro;fessor, The (1961)::Children's|Comedy|Fantasy
2016::Apple Dumpling Ga;ng Rides Again, The (1979)::Children's|Comedy|Western
2017::Babes in Toyland;(1961)::Children's|Fantasy|Musical
2018::Bambi (1942)::Ani;mation|Children's
2019::Seven Samurai (Th;e Magnificent Seven) (Shichinin no samurai) (1954)::Action|Drama
2020::Dangerous Liaison;s (1988)::Drama|Romance
2021::Dune (1984)::Fant;asy|Sci-Fi
2022::Last Temptation o;f Christ, The (1988)::Drama
2023::Godfather: Part I;II, The (1990)::Action|Crime|Drama
2024::Rapture, The (199;1)::Drama|Mystery
2025::Lolita (1997)::Dr;ama|Romance
2026::Disturbing Behavi;or (1998)::Horror|Thriller
2027::Mafia! (1998)::Co;medy|Crime
2028::Saving Private Ry;an (1998)::Action|Drama|War
2029::Billy's Hollywood;Screen Kiss (1997)::Comedy|Romance
2030::East Palace West;Palace (Dong gong xi gong) (1997)::Drama
2031::$1,000,000 Duck (;1971)::Children's|Comedy
2032::Barefoot Executiv;e, The (1971)::Children's|Comedy
2033::Black Cauldron, T;he (1985)::Animation|Children's
2034::Black Hole, The (;1979)::Sci-Fi
2035::Blackbeard's Ghos;t (1968)::Children's|Comedy
2036::Blank Check (1994;)::Children's|Comedy
2037::Candleshoe (1977);::Adventure|Children's|Comedy
2038::Cat from Outer Sp;ace, The (1978)::Children's|Comedy|Sci-Fi
2039::Cheetah (1989)::A;dventure|Children's
2040::Computer Wore Ten;nis Shoes, The (1970)::Children's|Comedy
2041::Condorman (1981):;:Action|Adventure|Children's|Comedy
2042::D2: The Mighty Du;cks (1994)::Children's|Comedy
2043::Darby O'Gill and;the Little People (1959)::Adventure|Children's|Fantasy
2044::Devil and Max Dev;lin, The (1981)::Comedy
2045::Far Off Place, A;(1993)::Adventure|Children's|Drama|Romance
2046::Flight of the Nav;igator (1986)::Adventure|Children's|Sci-Fi
2047::Gnome-Mobile, The;(1967)::Children's
2048::Great Mouse Detec;tive, The (1986)::Animation|Children's
2049::Happiest Milliona;ire, The (1967)::Comedy|Musical
2050::Herbie Goes Banan;as (1980)::Adventure|Children's|Comedy
2051::Herbie Goes to Mo;nte Carlo (1977)::Adventure|Children's|Comedy
2052::Hocus Pocus (1993;)::Children's|Comedy
2053::Honey, I Blew Up;the Kid (1992)::Children's|Comedy|Sci-Fi
2054::Honey, I Shrunk t;he Kids (1989)::Adventure|Children's|Comedy|Fantasy|Sci-Fi
2055::Hot Lead and Cold;Feet (1978)::Comedy|Western
2056::In Search of the;Castaways (1962)::Adventure|Children's
2057::Incredible Journe;y, The (1963)::Adventure|Children's
2058::Negotiator, The (;1998)::Action|Thriller
2059::Parent Trap, The;(1998)::Children's|Drama
2060::BASEketball (1998;)::Comedy
2061::Full Tilt Boogie;(1997)::Documentary
2062::Governess, The (1;998)::Drama|Romance
2063::Seventh Heaven (L;e Septième ciel) (1997)::Drama|Romance
2064::Roger & Me (1989);::Comedy|Documentary
2065::Purple Rose of Ca;iro, The (1985)::Comedy|Drama|Romance
2066::Out of the Past (;1947)::Film-Noir
2067::Doctor Zhivago (1;965)::Drama|Romance|War
2068::Fanny and Alexand;er (1982)::Drama
2069::Trip to Bountiful;, The (1985)::Drama
2070::Tender Mercies (1;983)::Drama
2071::And the Band Play;ed On (1993)::Drama
2072::'burbs, The (1989;)::Comedy
2073::Fandango (1985)::;Comedy
2074::Night Porter, The;(Il Portiere di notte) (1974)::Drama
2075::Mephisto (1981)::;Drama|War
2076::Blue Velvet (1986;)::Drama|Mystery
2077::Journey of Natty;Gann, The (1985)::Adventure|Children's
2078::Jungle Book, The;(1967)::Animation|Children's|Comedy|Musical
2079::Kidnapped (1960):;:Children's|Drama
2080::Lady and the Tram;p (1955)::Animation|Children's|Comedy|Musical|Romance
2081::Little Mermaid, T;he (1989)::Animation|Children's|Comedy|Musical|Romance
2082::Mighty Ducks, The;(1992)::Children's|Comedy
2083::Muppet Christmas;Carol, The (1992)::Children's|Musical
2084::Newsies (1992)::C;hildren's|Musical
2085::101 Dalmatians (1;961)::Animation|Children's
2086::One Magic Christm;as (1985)::Drama|Fantasy
2087::Peter Pan (1953):;:Animation|Children's|Fantasy|Musical
2088::Popeye (1980)::Ad;venture|Comedy|Musical
2089::Rescuers Down Und;er, The (1990)::Animation|Children's
2090::Rescuers, The (19;77)::Animation|Children's
2091::Return from Witch;Mountain (1978)::Children's|Sci-Fi
2092::Return of Jafar,;The (1993)::Animation|Children's|Musical
2093::Return to Oz (198;5)::Adventure|Children's|Fantasy|Sci-Fi
2094::Rocketeer, The (1;991)::Action|Adventure|Sci-Fi
2095::Shaggy D.A., The;(1976)::Children's|Comedy
2096::Sleeping Beauty (;1959)::Animation|Children's|Musical
2097::Something Wicked;This Way Comes (1983)::Children's|Horror
2098::Son of Flubber (1;963)::Children's|Comedy
2099::Song of the South;(1946)::Adventure|Animation|Children's|Musical
2100::Splash (1984)::Co;medy|Fantasy|Romance
2101::Squanto: A Warrio;r's Tale (1994)::Adventure|Drama
2102::Steamboat Willie;(1940)::Animation|Children's|Comedy|Musical
2103::Tall Tale (1994):;:Adventure|Children's
2104::Tex (1982)::Drama;
2105::Tron (1982)::Acti;on|Adventure|Fantasy|Sci-Fi
2106::Swing Kids (1993);::Drama|War
2107::Halloween: H20 (1;998)::Horror|Thriller
2108::L.A. Story (1991);::Comedy|Romance
2109::Jerk, The (1979):;:Comedy
2110::Dead Men Don't We;ar Plaid (1982)::Comedy|Crime|Thriller
2111::Man with Two Brai;ns, The (1983)::Comedy
2112::Grand Canyon (199;1)::Crime|Drama
2113::Graveyard Shift (;1990)::Horror|Thriller
2114::Outsiders, The (1;983)::Drama
2115::Indiana Jones and;the Temple of Doom (1984)::Action|Adventure
2116::Lord of the Rings;, The (1978)::Adventure|Animation|Children's|Sci-Fi
2117::Nineteen Eighty-F;our (1984)::Drama|Sci-Fi
2118::Dead Zone, The (1;983)::Horror|Thriller
2119::Maximum Overdrive;(1986)::Horror
2120::Needful Things (1;993)::Drama|Horror
2121::Cujo (1983)::Horr;or|Thriller
2122::Children of the C;orn (1984)::Horror|Thriller
2123::All Dogs Go to He;aven (1989)::Animation|Children's
2124::Addams Family, Th;e (1991)::Comedy
2125::Ever After: A Cin;derella Story (1998)::Drama|Romance
2126::Snake Eyes (1998);::Action|Crime|Mystery|Thriller
2127::First Love, Last;Rites (1997)::Drama|Romance
2128::Safe Men (1998)::;Comedy
2129::Saltmen of Tibet,;The (1997)::Documentary
2130::Atlantic City (19;80)::Crime|Drama|Romance
2131::Autumn Sonata (Hö;stsonaten ) (1978)::Drama
2132::Who's Afraid of V;irginia Woolf? (1966)::Drama
2133::Adventures in Bab;ysitting (1987)::Adventure|Comedy
2134::Weird Science (19;85)::Comedy
2135::Doctor Dolittle (;1967)::Adventure|Musical
2136::Nutty Professor,;The (1963)::Comedy
2137::Charlotte's Web (;1973)::Animation|Children's
2138::Watership Down (1;978)::Animation|Children's|Drama|Fantasy
2139::Secret of NIMH, T;he (1982)::Animation|Children's
2140::Dark Crystal, The;(1982)::Children's|Fantasy|Sci-Fi
2141::American Tail, An;(1986)::Animation|Children's|Comedy
2142::American Tail: Fi;evel Goes West, An (1991)::Animation|Children's|Comedy
2143::Legend (1985)::Ad;venture|Fantasy|Romance
2144::Sixteen Candles (;1984)::Comedy
2145::Pretty in Pink (1;986)::Comedy|Drama|Romance
2146::St. Elmo's Fire (;1985)::Drama|Romance
2147::Clan of the Cave;Bear, The (1986)::Drama
2148::House (1986)::Com;edy|Horror
2149::House II: The Sec;ond Story (1987)::Comedy|Horror
2150::Gods Must Be Craz;y, The (1980)::Comedy
2151::Gods Must Be Craz;y II, The (1989)::Comedy
2152::Air Bud: Golden R;eceiver (1998)::Children's|Comedy
2153::Avengers, The (19;98)::Action|Adventure
2154::How Stella Got He;r Groove Back (1998)::Drama|Romance
2155::Slums of Beverly;Hills, The (1998)::Comedy
2156::Best Man, The (Il;Testimone dello sposo) (1997)::Comedy|Drama
2157::Chambermaid on th;e Titanic, The (1998)::Romance
2158::Henry: Portrait o;f a Serial Killer, Part 2 (1996)::Crime|Horror
2159::Henry: Portrait o;f a Serial Killer (1990)::Crime|Horror
2160::Rosemary's Baby (;1968)::Horror|Thriller
2161::NeverEnding Story;, The (1984)::Adventure|Children's|Fantasy
2162::NeverEnding Story;II: The Next Chapter, The (1990)::Adventure|Children's|Fantasy
2163::Attack of the Kil;ler Tomatoes! (1980)::Comedy|Horror
2164::Surf Nazis Must D;ie (1987)::Drama
2165::Your Friends and;Neighbors (1998)::Drama
2166::Return to Paradis;e (1998)::Drama|Romance
2167::Blade (1998)::Act;ion|Adventure|Horror
2168::Dance with Me (19;98)::Drama|Romance
2169::Dead Man on Campu;s (1998)::Comedy
2170::Wrongfully Accuse;d (1998)::Action|Comedy
2171::Next Stop, Wonder;land (1998)::Comedy|Drama|Romance
2172::Strike! (a.k.a. A;ll I Wanna Do, The Hairy Bird) (1998)::Comedy
2173::Navigator: A Medi;aeval Odyssey, The (1988)::Adventure|Fantasy|Sci-Fi
2174::Beetlejuice (1988;)::Comedy|Fantasy
2175::Déjà Vu (1997)::D;rama|Romance
2176::Rope (1948)::Thri;ller
2177::Family Plot (1976;)::Comedy|Thriller
2178::Frenzy (1972)::Th;riller
2179::Topaz (1969)::Thr;iller
2180::Torn Curtain (196;6)::Thriller
2181::Marnie (1964)::Th;riller
2182::Wrong Man, The (1;956)::Drama|Film-Noir|Thriller
2183::Man Who Knew Too;Much, The (1956)::Thriller
2184::Trouble with Harr;y, The (1955)::Mystery|Thriller
2185::I Confess (1953):;:Thriller
2186::Strangers on a Tr;ain (1951)::Film-Noir|Thriller
2187::Stage Fright (195;0)::Mystery|Thriller
2188::54 (1998)::Drama;
2189::I Married A Stran;ge Person (1997)::Animation
2190::Why Do Fools Fall;In Love? (1998)::Drama
2191::Merry War, A (199;7)::Comedy
2192::See the Sea (Rega;rde la mer) (1997)::Drama
2193::Willow (1988)::Ac;tion|Adventure|Fantasy
2194::Untouchables, The;(1987)::Action|Crime|Drama
2195::Dirty Work (1998);::Comedy
2196::Knock Off (1998):;:Action
2197::Firelight (1997):;:Drama
2198::Modulations (1998;)::Documentary
2199::Phoenix (1998)::C;rime|Drama
2200::Under Capricorn (;1949)::Drama
2201::Paradine Case, Th;e (1947)::Drama
2202::Lifeboat (1944)::;Drama|Thriller|War
2203::Shadow of a Doubt;(1943)::Film-Noir|Thriller
2204::Saboteur (1942)::;Thriller
2205::Mr. & Mrs. Smith;(1941)::Comedy
2206::Suspicion (1941):;:Mystery|Thriller
2207::Jamaica Inn (1939;)::Drama
2208::Lady Vanishes, Th;e (1938)::Comedy|Mystery|Romance|Thriller
2209::Young and Innocen;t (1937)::Crime|Thriller
2210::Sabotage (1936)::;Thriller
2211::Secret Agent (193;6)::Thriller
2212::Man Who Knew Too;Much, The (1934)::Thriller
2213::Waltzes from Vien;na (1933)::Comedy|Musical
2214::Number Seventeen;(1932)::Thriller
2215::Rich and Strange;(1932)::Comedy|Romance
2216::Skin Game, The (1;931)::Drama
2217::Elstree Calling (;1930)::Comedy|Musical
2218::Juno and Paycock;(1930)::Drama
2219::Murder! (1930)::M;ystery|Thriller
2220::Manxman, The (192;9)::Drama
2221::Blackmail (1929):;:Thriller
2222::Champagne (1928):;:Comedy
2223::Farmer's Wife, Th;e (1928)::Comedy
2224::Downhill (1927)::;Drama
2225::Easy Virtue (1927;)::Drama
2226::Ring, The (1927):;:Drama
2227::Lodger, The (1926;)::Thriller
2228::Mountain Eagle, T;he (1926)::Drama
2229::Pleasure Garden,;The (1925)::Drama
2230::Always Tell Your;Wife (1923)::Comedy
2231::Rounders (1998)::;Crime|Drama
2232::Cube (1997)::Sci-;Fi|Thriller
2233::Digging to China;(1998)::Drama
2234::Let's Talk About;Sex (1998)::Drama
2235::One Man's Hero (1;999)::Drama|War
2236::Simon Birch (1998;)::Drama
2237::Without Limits (1;998)::Drama
2238::Seven Beauties (P;asqualino Settebellezze) (1976)::Comedy|Drama
2239::Swept Away (Travo;lti da un insolito destino nell'azzurro mare d'Agosto) (1975)::Comedy|Drama
2240::My Bodyguard (198;0)::Drama
2241::Class (1983)::Com;edy
2242::Grandview, U.S.A.;(1984)::Drama
2243::Broadcast News (1;987)::Comedy|Drama|Romance
2244::Allnighter, The (;1987)::Comedy|Romance
2245::Working Girl (198;8)::Comedy|Drama
2246::Stars and Bars (1;988)::Comedy
2247::Married to the Mo;b (1988)::Comedy
2248::Say Anything... (;1989)::Comedy|Drama|Romance
2249::My Blue Heaven (1;990)::Comedy
2250::Men Don't Leave (;1990)::Drama
2251::Cabinet of Dr. Ra;mirez, The (1991)::Comedy
2252::Hero (1992)::Come;dy|Drama
2253::Toys (1992)::Acti;on|Comedy|Fantasy
2254::Choices (1981)::D;rama
2255::Young Doctors in;Love (1982)::Comedy
2256::Parasite (1982)::;Horror|Sci-Fi
2257::No Small Affair (;1984)::Comedy|Romance
2258::Master Ninja I (1;984)::Action
2259::Blame It on Rio (;1984)::Comedy|Romance
2260::Wisdom (1986)::Ac;tion|Crime
2261::One Crazy Summer;(1986)::Comedy
2262::About Last Night.;.. (1986)::Comedy|Drama|Romance
2263::Seventh Sign, The;(1988)::Thriller
2264::We're No Angels (;1989)::Drama
2265::Nothing But Troub;le (1991)::Adventure|Comedy
2266::Butcher's Wife, T;he (1991)::Comedy|Romance
2267::Mortal Thoughts (;1991)::Mystery|Thriller
2268::Few Good Men, A (;1992)::Crime|Drama
2269::Indecent Proposal;(1993)::Drama
2270::Century of Cinema;, A (1994)::Documentary
2271::Permanent Midnigh;t (1998)::Drama
2272::One True Thing (1;998)::Drama
2273::Rush Hour (1998):;:Action|Thriller
2274::Lilian's Story (1;995)::Drama
2275::Six-String Samura;i (1998)::Action|Adventure|Sci-Fi
2276::Soldier's Daughte;r Never Cries, A (1998)::Drama
2277::Somewhere in the;City (1997)::Drama
2278::Ronin (1998)::Act;ion|Crime|Thriller
2279::Urban Legend (199;8)::Horror|Thriller
2280::Clay Pigeons (199;8)::Crime
2281::Monument Ave. (19;98)::Crime
2282::Pecker (1998)::Co;medy|Drama
2283::Sheltering Sky, T;he (1990)::Drama
2284::Bandit Queen (199;4)::Drama
2285::If.... (1968)::Dr;ama
2286::Fiendish Plot of;Dr. Fu Manchu, The (1980)::Comedy
2287::Them! (1954)::Sci;-Fi|Thriller|War
2288::Thing, The (1982);::Action|Horror|Sci-Fi|Thriller
2289::Player, The (1992;)::Comedy|Drama
2290::Stardust Memories;(1980)::Comedy|Drama
2291::Edward Scissorhan;ds (1990)::Drama|Romance
2292::Overnight Deliver;y (1996)::Romance
2293::Shadrach (1998)::;Drama
2294::Antz (1998)::Anim;ation|Children's
2295::Impostors, The (1;998)::Comedy
2296::Night at the Roxb;ury, A (1998)::Comedy
2297::What Dreams May C;ome (1998)::Drama|Romance
2298::Strangeland (1998;)::Thriller
2299::Battle of the Sex;es, The (1959)::Comedy
2300::Producers, The (1;968)::Comedy|Musical
2301::History of the Wo;rld: Part I (1981)::Comedy
2302::My Cousin Vinny (;1992)::Comedy
2303::Nashville (1975):;:Drama|Musical
2304::Love Is the Devil;(1998)::Drama
2305::Slam (1998)::Dram;a
2306::Holy Man (1998)::;Comedy
2307::One Tough Cop (19;98)::Action|Drama
2308::Detroit 9000 (197;3)::Action|Crime
2309::Inheritors, The (;Die Siebtelbauern) (1998)::Drama
2310::Mighty, The (1998;)::Drama
2311::2010 (1984)::Myst;ery|Sci-Fi
2312::Children of a Les;ser God (1986)::Drama
2313::Elephant Man, The;(1980)::Drama
2314::Beloved (1998)::D;rama
